Date ,Open,High,Low,Close,Change (Pips) ,Change (%) 
"Dec 15, 2020 03:00",0.75315,0.75343,0.75127,0.75169,-14.6,-0.19%
"Dec 15, 2020 02:00",0.75348,0.7539,0.75277,0.7531,-3.8,-0.05%
"Dec 15, 2020 01:00",0.75389,0.75462,0.75281,0.75352,-3.7,-0.05%
"Dec 15, 2020 00:00",0.75353,0.75453,0.75342,0.75389,3.6,+0.05%
"Dec 14, 2020 23:00",0.7531,0.75384,0.75299,0.7535,4,+0.05%
"Dec 14, 2020 22:00",0.75323,0.75347,0.75297,0.75304,-1.9,-0.03%
"Dec 14, 2020 21:00",0.75339,0.75363,0.7532,0.75328,-1.1,-0.01%
"Dec 14, 2020 20:00",0.75428,0.75431,0.75307,0.75333,-9.5,-0.13%
"Dec 14, 2020 19:00",0.75418,0.75466,0.75397,0.75432,1.4,+0.02%
"Dec 14, 2020 18:00",0.75459,0.75483,0.75385,0.75414,-4.5,-0.06%
"Dec 14, 2020 17:00",0.75351,0.75458,0.75342,0.75458,10.7,+0.14%
"Dec 14, 2020 16:00",0.75374,0.75401,0.75332,0.75355,-1.9,-0.03%
"Dec 14, 2020 15:00",0.75654,0.75663,0.7534,0.75368,-28.6,-0.38%
"Dec 14, 2020 14:00",0.75761,0.75778,0.75591,0.75655,-10.6,-0.14%
"Dec 14, 2020 13:00",0.75709,0.75773,0.75687,0.75765,5.6,+0.07%
"Dec 14, 2020 12:00",0.75669,0.75775,0.75635,0.75706,3.7,+0.05%
"Dec 14, 2020 11:00",0.75655,0.75697,0.75647,0.75667,1.2,+0.02%
"Dec 14, 2020 10:00",0.75588,0.75667,0.75563,0.75656,6.8,+0.09%
"Dec 14, 2020 09:00",0.75637,0.75662,0.75587,0.75588,-4.9,-0.06%
"Dec 14, 2020 08:00",0.75617,0.75743,0.7559,0.75638,2.1,+0.03%
"Dec 14, 2020 07:00",0.75554,0.75644,0.75531,0.75617,6.3,+0.08%
